Call Sign,Call Sign.1,Vessel Name,Ship Type,Flag,Vessel Max Draft,Last Port,Next Port,Current Location,Enter Location,Exit Location,IMO,Berth,ATA,EDT,ADT,ETA,WaitingTime,MaxDraft,MaxLOA,BerthLength,ATA_day_Friday,ATA_day_Monday,ATA_day_Saturday,ATA_day_Sunday,ATA_day_Thursday,ATA_day_Tuesday,ATA_day_Wednesday,EDT_day_Friday,EDT_day_Monday,EDT_day_Saturday,EDT_day_Sunday,EDT_day_Thursday,EDT_day_Tuesday,EDT_day_Wednesday,ATA_shift,EDT_shift,ATA_season_autumn,ATA_season_spring,ATA_season_summer,ATA_season_winter,EDT_season_autumn,EDT_season_spring,EDT_season_summer,EDT_season_winter,ATA_inport,Length,Gross Tonnage,Breadth,ATA_berth_delay
V7XO9,V7XO9,STI AMBER,CHEMICAL,MAR,11.95,"QUANZHOU, FJ",KWINANA,SLA,,,9629926,SLA,2023-01-01 22:08:00,2023-01-02 12:00:00,2023-01-02 07:49:00,2023-01-01 22:08:00,9.683333333333334,7.5,400.0,0.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,3,2,False,False,False,True,False,False,False,True,3,183.0,29725.0,32.0,4.183333333333334
A8KM8,A8KM8,ESL WAFA,CONTAINER,LIB,12.5,"DACHAN, GD",QINGDAO,KC10,TSK,WL,9306160,KC10,2023-08-26 21:21:00,2023-08-27 08:00:00,2023-08-27 07:04:00,2023-08-26 21:21:00,9.716666666666667,15.5,370.0,700.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,3,2,False,False,True,False,False,False,True,False,5,304.0,73934.0,40.0,0.9333333333333333
3E3349,3E3349,FUTURE OCEAN,GENERAL / HEAVY LIFT CARGO,PAN,9.35,"SHENZHEN, GD",OPEN SEA,SELA,TSK,S,9309863,SELA,2024-06-03 02:37:00,2024-06-03 14:00:00,2024-06-03 09:50:00,2024-06-03 02:37:00,7.216666666666667,7.5,400.0,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1,2,False,False,True,False,False,False,True,False,2,127.0,9873.0,19.0,4.166666666666667
VRTC8,VRTC8,DA KUN SHAN,"TANKER (CRUDE,FUEL,DIESEL,LUB)",HKG,5.0,"ZHENJIANG, JS",RAYONG,SLA,,,9567685,SLA,2024-03-26 08:26:00,2024-03-26 18:00:00,2024-03-26 16:40:00,2024-03-26 08:26:00,8.233333333333333,7.5,400.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,2,3,False,True,False,False,False,True,False,False,3,106.0,5493.0,17.0,1.3333333333333333
3FWA7,3FWA7,RUN XIANG,LIQUIFIED PETROLEUM GAS TANKER,PAN,6.0,"YANTIAN, SHENZHEN",MACAO,SHELL,PCPBW,MB,9523794,SHELL,2024-10-04 15:28:00,2024-10-10 09:48:00,2024-10-10 08:09:00,2024-10-04 15:28:00,136.68333333333334,14.5,245.0,226.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2,2,True,False,False,False,True,False,False,False,10,99.0,4410.0,17.0,1.65
VRJG2,VRJG2,CSCL MARS,CONTAINER,HKG,11.4,OPEN SEA,"YANTIAN, SHENZHEN",KC13,MB,MB,9467287,KC13,2024-05-26 15:27:00,2024-05-27 15:00:00,2024-05-27 11:05:00,2024-05-26 15:27:00,19.633333333333333,15.5,370.0,338.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,2,2,False,True,False,False,False,True,False,False,4,366.0,151993.0,51.0,3.9166666666666665
HSB6323,HSB6323,SALINA,CHEMICAL,THA,5.4,"YANGJIANG, GD","OTHER, CHINA (COAST)",SLA,,,9369978,SLA,2024-08-03 00:45:00,2024-08-03 10:00:00,2024-08-03 13:57:00,2024-08-03 00:45:00,13.2,7.5,400.0,0.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,1,2,False,False,True,False,False,False,True,False,10,127.0,7321.0,19.0,3.95
9VLP3,9VLP3,KOTA CEMPAKA,CONTAINER,SNG,8.0,"SHEKOU, SHENZHEN","SHANGHAI, SH",KC3,TSK,WL,9638965,KC3,2023-03-27 03:08:00,2023-03-27 08:00:00,2023-03-27 14:33:00,2023-03-27 03:08:00,11.416666666666666,14.0,370.0,305.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1,2,False,True,False,False,False,True,False,False,6,299.0,76633.0,40.0,6.55
9HA4133,9HA4133,CMA CGM NIAGARA,CONTAINER,MTA,11.9,"SHEKOU, SHENZHEN","SHANGHAI, SH",KC11,TSK,PT,9722675,KC11,2024-04-22 03:56:00,2024-04-23 02:00:00,2024-04-23 06:29:00,2024-04-22 03:56:00,26.55,15.5,340.0,338.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1,1,False,True,False,False,False,True,False,False,4,299.0,95680.0,48.0,4.483333333333333
A8HL5,A8HL5,TONSBERG,CONTAINER,LIB,14.4,PORT KLANG,QINGDAO,KC10,,,9216999,KC8,2023-06-16 07:27:00,2023-06-16 18:00:00,2023-06-16 19:07:00,2023-06-16 07:27:00,11.666666666666666,16.0,400.0,380.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,1,3,False,False,True,False,False,False,True,False,8,274.0,65059.0,40.0,1.1166666666666667
